tarefa,modelo,sentenca_id,posicao,token,tag_gold,tag_predita
ner,crf,244.0,0,Tokyo,B-gpe,B-geo
ner,crf,244.0,7,North,B-gpe,B-geo
ner,crf,244.0,8,Korea,I-gpe,I-geo
ner,crf,244.0,15,North,B-gpe,B-geo
ner,crf,244.0,23,1970s,B-tim,O
ner,crf,244.0,25,1980s,B-tim,O
ner,crf,246.0,29,2003,B-tim,O
ner,crf,248.0,5,U.S.,B-gpe,B-geo
ner,crf,249.0,8,U.S.,B-gpe,B-geo
ner,crf,251.0,0,Egypt,B-gpe,B-org
ner,crf,255.0,6,H5N1,B-nat,O
ner,crf,257.0,0,Egypt,B-geo,B-org
ner,crf,258.0,8,Iraq,B-gpe,B-geo
ner,crf,258.0,26,U.N.,B-org,B-geo
ner,crf,259.0,1,U.S.,B-gpe,B-geo
ner,crf,260.0,5,U.S.,B-gpe,B-geo
ner,crf,260.0,6,government-funded,B-org,O
ner,crf,260.0,7,alHurra,B-art,O
ner,crf,262.0,14,Iraq,B-gpe,B-geo
ner,crf,263.0,0,Kyrgyzstan,B-gpe,B-org
ner,crf,269.0,18,20,O,B-tim
ner,crf,270.0,5,France,B-gpe,B-geo
ner,crf,270.0,14,Charles,B-art,B-per
ner,crf,270.0,15,De,I-art,I-per
ner,crf,270.0,16,Gaulle,I-art,I-per
ner,crf,270.0,26,Baghdad,B-art,B-geo
ner,crf,270.0,27,International,I-art,B-eve
ner,crf,270.0,28,Airport,I-art,I-eve
ner,crf,272.0,20,France,B-gpe,B-geo
ner,crf,272.0,22,Iraq,B-gpe,B-geo
ner,crf,273.0,0,Regular,O,B-gpe
ner,crf,275.0,1,and,O,I-org
ner,crf,275.0,2,Emirates,B-org,I-org
ner,crf,275.0,3,airlines,I-org,O
ner,crf,276.0,5,U.S.,B-gpe,B-geo
ner,crf,277.0,11,U.S.,B-gpe,B-geo
ner,crf,277.0,20,three,O,B-tim
ner,crf,280.0,5,U.S.,B-gpe,B-geo
ner,crf,281.0,6,Colombia,B-gpe,B-geo
ner,crf,281.0,20,United,B-gpe,B-geo
ner,crf,281.0,21,States,I-gpe,I-geo
ner,crf,284.0,13,Venezuela,B-gpe,B-geo
ner,crf,286.0,7,March,B-tim,B-geo
ner,crf,286.0,9,Colombia,B-gpe,B-geo
ner,crf,287.0,0,Venezuela,B-gpe,B-per
ner,crf,288.0,0,China,B-gpe,B-geo
ner,crf,288.0,6,U.S.,B-gpe,B-geo
ner,crf,288.0,21,U.S.,B-gpe,B-geo
ner,crf,288.0,23,China,B-gpe,B-geo
ner,crf,289.0,15,China,B-gpe,B-geo
ner,crf,290.0,12,U.S.,B-gpe,B-geo
ner,crf,291.0,11,U.S,B-gpe,O
ner,crf,291.0,13,China,B-gpe,B-geo
ner,crf,292.0,2,China,B-gpe,B-geo
ner,crf,293.0,0,China,B-gpe,B-geo
ner,crf,298.0,16,U.S.,B-gpe,B-geo
ner,crf,301.0,0,Uganda,B-gpe,B-geo
ner,crf,305.0,0,Kony,B-per,B-geo
ner,crf,306.0,0,LRA,B-org,O
ner,crf,307.0,15,past,O,B-tim
ner,crf,310.0,15,Association,B-art,O
ner,crf,310.0,16,of,I-art,O
ner,crf,310.0,17,Tennis,I-art,B-org
ner,crf,310.0,18,Professionals,I-art,I-org
ner,crf,310.0,19,Tour,I-art,I-org
ner,crf,311.0,17,03-Jun,O,B-tim
ner,crf,314.0,12,Huygens,B-art,B-geo
ner,crf,316.0,8,Cassini,B-art,B-geo
ner,crf,317.0,5,Huygens,B-art,B-geo
ner,crf,317.0,13,European,B-geo,B-gpe
ner,crf,317.0,25,Earth,B-geo,B-per
ner,crf,320.0,0,Uganda,B-gpe,B-geo
ner,crf,322.0,5,Judge,O,I-org
ner,crf,326.0,7,White,B-art,B-org
ner,crf,326.0,8,House,I-art,I-org
ner,crf,326.0,9,Rose,I-art,I-org
ner,crf,326.0,10,Garden,I-art,I-org
ner,crf,326.0,16,African-American,B-gpe,O
ner,crf,326.0,25,U.S.,B-gpe,B-geo
ner,crf,330.0,0,Democrats,B-org,O
ner,crf,332.0,9,10,O,B-tim
ner,crf,333.0,17,Latin,B-gpe,O
ner,crf,333.0,18,American,I-gpe,B-gpe
ner,crf,333.0,27,40,O,B-tim
ner,crf,334.0,25,July,B-tim,B-geo
ner,crf,335.0,3,July,B-tim,B-geo
ner,crf,335.0,9,G-8,B-org,O
ner,crf,336.0,11,Benin,B-gpe,B-geo
ner,crf,336.0,13,Bolivia,B-gpe,B-geo
ner,crf,336.0,15,Burkina,B-gpe,B-per
ner,crf,336.0,16,Faso,I-gpe,I-per
ner,crf,336.0,18,Ethiopia,B-gpe,B-geo
ner,crf,336.0,20,Ghana,B-gpe,B-geo
ner,crf,336.0,22,Guyana,B-gpe,B-geo
ner,crf,336.0,24,Honduras,B-gpe,B-geo
ner,crf,336.0,26,Madagascar,B-gpe,B-geo
ner,crf,336.0,28,Mali,B-gpe,B-geo
ner,crf,336.0,30,Mozambique,B-gpe,B-geo
ner,crf,336.0,32,Nicaragua,B-gpe,B-geo
ner,crf,336.0,34,Niger,B-gpe,B-geo
ner,crf,336.0,36,Rwanda,B-gpe,B-geo
ner,crf,336.0,38,Senegal,B-gpe,B-geo
ner,crf,336.0,40,Tanzania,B-gpe,B-geo
ner,crf,336.0,44,Zambia,B-gpe,B-geo
ner,crf,337.0,0,Iran,B-gpe,B-geo
ner,crf,337.0,10,two,O,B-tim
ner,crf,340.0,0,Iran,B-gpe,B-geo
ner,crf,343.0,2,midnight,B-tim,O
ner,crf,349.0,10,Russia,B-gpe,B-geo
ner,crf,355.0,5,Ramda,B-per,B-geo
ner,crf,359.0,3,Ramda,B-per,B-geo
ner,crf,360.0,6,10,O,B-tim
ner,crf,361.0,5,Ramda,B-per,B-geo
ner,crf,361.0,27,",",I-tim,O
ner,crf,361.0,28,1995,I-tim,O
ner,crf,362.0,11,Central,B-gpe,B-org
ner,crf,362.0,12,African,I-gpe,I-org
ner,crf,362.0,13,Republic,I-gpe,I-org
ner,crf,363.0,20,CAR,B-gpe,B-org
ner,crf,365.0,8,Sudan,B-gpe,B-geo
ner,crf,367.0,7,Sudan,B-gpe,B-per
ner,crf,368.0,18,Democratic,B-gpe,B-geo
ner,crf,368.0,19,Republic,I-gpe,I-geo
ner,crf,368.0,20,of,I-gpe,O
ner,crf,368.0,21,Congo,I-gpe,B-geo
ner,crf,368.0,34,Sudan,B-gpe,B-geo
ner,crf,369.0,26,three,O,B-tim
ner,crf,375.0,14,Muslims,B-org,O
ner,crf,375.0,29,Downing,B-art,B-geo
ner,crf,375.0,30,Street,I-art,I-geo
ner,crf,375.0,35,Britain,B-gpe,B-geo
ner,crf,377.0,25,Muslim,B-org,O
ner,crf,378.0,2,France,B-art,B-org
ner,crf,378.0,3,3,I-art,O
ner,crf,379.0,0,Iran,B-gpe,B-geo
ner,crf,379.0,10,U.S.,B-gpe,B-geo
ner,crf,379.0,16,Washington,B-gpe,B-geo
ner,crf,379.0,26,Iran,B-gpe,B-org
ner,crf,380.0,4,Chairman,O,I-org
ner,crf,380.0,11,U.S.,B-gpe,B-geo
ner,crf,380.0,17,Iran,B-gpe,B-geo
ner,crf,382.0,0,Iran,B-gpe,B-geo
ner,crf,382.0,13,U.S.,B-gpe,B-geo
ner,crf,383.0,3,Tehran,B-gpe,B-geo
ner,crf,384.0,1,United,B-gpe,B-org
ner,crf,384.0,2,States,I-gpe,O
ner,crf,384.0,8,Iran,B-gpe,B-geo
ner,crf,384.0,24,Iran,B-gpe,B-geo
ner,crf,386.0,0,Georgia,B-gpe,B-geo
ner,crf,391.0,0,Georgia,B-gpe,B-geo
ner,crf,393.0,2,Georgians,B-gpe,O
ner,crf,394.0,0,Peru,B-gpe,B-geo
ner,crf,399.0,9,to,O,I-tim
ner,crf,399.0,10,2000,B-tim,I-tim
ner,crf,400.0,0,Tokyo,B-gpe,B-geo
ner,crf,400.0,5,Lima,B-gpe,B-geo
ner,crf,408.0,3,Kenyan,B-gpe,O
ner,crf,410.0,9,Council,B-org,O
ner,crf,411.0,12,Muslim,B-org,B-geo
ner,crf,424.0,0,India,B-org,B-geo
ner,crf,427.0,4,U.S.,B-gpe,B-geo
ner,crf,434.0,7,Europe,B-gpe,B-geo
ner,crf,434.0,9,Iran,B-gpe,B-geo
ner,crf,435.0,7,Tehran,B-gpe,B-org
ner,crf,436.0,3,Tehran,B-gpe,B-per
ner,crf,441.0,36,Harare,B-gpe,B-geo
ner,crf,442.0,10,Zambia,B-gpe,B-geo
ner,crf,444.0,5,two,O,B-tim
ner,crf,448.0,0,Sperling,B-per,B-geo
ner,crf,450.0,0,Sperling,B-per,B-geo
ner,crf,452.0,2,Bosnia-Herzegovina,B-gpe,B-geo
ner,crf,452.0,9,Bosnian,B-gpe,O
ner,crf,452.0,10,Serb,I-gpe,B-gpe
ner,crf,452.0,19,1995,B-tim,O
ner,crf,455.0,3,Muslim,O,B-org
ner,crf,456.0,1,Srebrenica,B-geo,O
ner,crf,456.0,12,II,I-eve,B-eve
ner,crf,457.0,12,Serbs,B-gpe,O
ner,crf,460.0,20,"4,500",O,B-tim
ner,crf,464.0,25,Neolithic,B-tim,B-gpe
ner,crf,468.0,0,Thailand,B-gpe,B-geo
ner,crf,469.0,2,Thailand,B-gpe,B-geo
ner,crf,479.0,3,U.S.,B-gpe,B-geo
ner,crf,482.0,2,U.S.,B-gpe,B-geo
ner,crf,482.0,21,10,O,B-tim
ner,crf,483.0,18,Somalia,B-gpe,B-geo
ner,crf,485.0,35,Sudan,B-geo,B-gpe
ner,crf,487.0,0,LRA,B-org,O
ner,crf,492.0,1,Islamic,B-gpe,O
ner,crf,492.0,2,State,I-gpe,O
ner,crf,492.0,3,of,I-gpe,O
ner,crf,493.0,23,al-Baghdadi,B-per,O
ner,crf,494.0,7,Sunni,B-org,O
ner,crf,497.0,3,U.S.,B-gpe,B-geo
ner,crf,497.0,12,al-Baghdadi,B-per,O
ner,crf,498.0,0,U.S.,B-gpe,B-geo
ner,crf,498.0,16,U.S.,B-gpe,B-geo
ner,crf,502.0,0,U.S.,B-gpe,B-geo
ner,crf,521.0,1,U.S.,B-gpe,B-geo
ner,crf,524.0,1,U.S.,B-gpe,B-geo
ner,crf,524.0,26,Shi'ite,B-org,O
ner,crf,525.0,0,U.S.,B-gpe,B-geo
ner,crf,525.0,7,Shi'ite,B-org,O
ner,crf,525.0,13,recent,O,B-tim
ner,crf,531.0,9,U.N.,B-org,B-geo
ner,crf,533.0,0,Iraq,B-gpe,B-geo
ner,crf,533.0,16,Sunni,B-org,O
ner,crf,536.0,1,Sunni,B-gpe,O
ner,crf,536.0,2,Arab,I-gpe,O
ner,crf,539.0,2,U.S.,B-gpe,B-geo
ner,crf,540.0,1,U.S.,B-gpe,B-geo
ner,crf,541.0,23,"6,26,000",O,B-tim
ner,crf,545.0,8,U.S.,B-gpe,B-geo
ner,crf,546.0,28,three,O,B-tim
ner,crf,550.0,5,Muslim,B-org,B-geo
ner,crf,553.0,1,U.S.,B-gpe,B-geo
ner,crf,554.0,0,U.S.,B-gpe,B-geo
ner,crf,556.0,1,20,O,B-tim
ner,crf,558.0,3,U.S.,B-gpe,B-geo
ner,crf,559.0,9,Pakistanis,B-gpe,O
ner,crf,560.0,17,Pakistan,B-gpe,B-geo
ner,crf,563.0,1,Western,O,B-gpe
ner,crf,563.0,5,Pakistan,B-gpe,B-geo
ner,crf,565.0,0,U.S.,B-gpe,B-geo
ner,crf,566.0,6,U.S.,B-gpe,B-geo
ner,crf,567.0,6,U.S.,B-gpe,B-geo
ner,crf,568.0,13,SARS,B-nat,I-tim
ner,crf,568.0,15,Severe,B-nat,B-per
ner,crf,568.0,16,Acute,I-nat,I-per
ner,crf,568.0,17,Respiratory,I-nat,B-eve
ner,crf,568.0,18,Syndrome,I-nat,I-eve
ner,crf,573.0,18,Shi'ite,B-org,O
ner,crf,574.0,13,recent,O,B-tim
ner,crf,575.0,3,Latvia,B-art,B-per
ner,crf,575.0,9,Latgalians,B-org,O
ner,crf,575.0,15,Baltic,B-geo,O
ner,crf,575.0,32,A.D.,B-tim,B-geo
ner,crf,577.0,15,USSR,B-gpe,B-org
ner,crf,577.0,25,US,B-gpe,B-org
ner,crf,578.0,0,Latvia,B-gpe,B-org
ner,crf,578.0,11,Soviet,B-gpe,O
ner,crf,578.0,12,Union,I-gpe,O
ner,crf,579.0,27,Moscow,B-gpe,B-geo
ner,crf,580.0,0,Latvia,B-gpe,B-org
ner,crf,581.0,0,Bolivia,B-gpe,B-geo
ner,crf,582.0,8,1980s,B-tim,O
ner,crf,583.0,25,Bolivia,B-gpe,B-geo
ner,crf,586.0,2,Bolivia,B-gpe,B-org
ner,crf,587.0,1,2010,B-tim,O
ner,crf,589.0,3,Swazis,B-gpe,O
ner,crf,589.0,6,Africa,B-geo,B-per
ner,crf,589.0,11,British,B-gpe,O
ner,crf,590.0,6,1990s,B-tim,O
ner,crf,590.0,36,recent,O,B-tim
ner,crf,594.0,0,Swaziland,B-gpe,B-geo
ner,crf,594.0,3,Botswana,B-gpe,B-geo
ner,crf,594.0,13,HIV,B-nat,B-org
ner,crf,594.0,15,AIDS,B-nat,O
ner,crf,595.0,4,Spanish,B-gpe,O
ner,crf,597.0,13,and,O,I-tim
ner,crf,597.0,14,1917,B-tim,I-tim
ner,crf,603.0,1,GOATHERD,O,B-org
ner,crf,606.0,16,Wild,O,B-gpe
ner,crf,608.0,32,Goats,O,B-gpe
ner,crf,622.0,0,France,B-geo,B-org
ner,crf,623.0,0,China,B-org,B-geo
ner,crf,624.0,8,China,B-org,B-geo
ner,crf,628.0,0,China,B-org,B-geo
ner,crf,631.0,0,Norway,B-gpe,B-geo
ner,crf,631.0,2,Prime,O,B-gpe
ner,crf,631.0,7,Nobel-Prize,B-art,O
ner,crf,634.0,5,9,B-tim,O
ner,crf,636.0,32,two,O,B-tim
ner,crf,644.0,19,Islamic,B-geo,O
ner,crf,644.0,20,Jihad,I-geo,O
ner,crf,647.0,19,Authority,O,B-org
ner,crf,650.0,11,Reuters,B-org,O
ner,crf,650.0,14,Guardian,B-org,B-geo
ner,crf,652.0,16,U.S.,B-gpe,B-geo
ner,crf,652.0,17,President,O,B-per
ner,crf,652.0,18,Barack,B-per,I-per
ner,crf,653.0,6,Su-24,B-art,O
ner,crf,654.0,0,Air,B-org,O
ner,crf,654.0,1,force,I-org,O
ner,crf,660.0,11,U.S.,B-org,B-geo
ner,crf,660.0,21,Russia,B-org,B-geo
ner,crf,660.0,23,Black,O,B-org
ner,crf,660.0,24,Sea,O,I-org
ner,crf,661.0,9,NATO,B-org,O
ner,crf,662.0,5,U.S.,B-org,B-geo
ner,crf,664.0,7,Russia,B-org,B-geo
ner,crf,665.0,12,Moscow,B-org,B-geo
ner,crf,666.0,0,Egypt,B-gpe,B-org
ner,crf,672.0,6,Brotherhood,B-org,O
ner,crf,674.0,24,Brotherhood,B-geo,O
ner,crf,676.0,9,Topol-M,B-art,O
ner,crf,677.0,9,Russia,B-org,B-geo
ner,crf,678.0,9,Topol,B-art,B-org
ner,crf,679.0,3,Topol,B-art,O
ner,crf,679.0,14,1990s,B-tim,O
ner,crf,689.0,4,Minuteman,B-org,B-geo
ner,crf,690.0,13,Tombstone,B-tim,B-geo
ner,crf,690.0,14,Friday,I-tim,B-tim
ner,crf,693.0,0,MS-13,B-geo,O
ner,crf,696.0,8,Colombia,B-org,B-geo
ner,crf,697.0,8,27,B-tim,O
ner,crf,697.0,26,Salvadorans,B-gpe,O
ner,crf,698.0,0,Italian,B-gpe,O
ner,crf,702.0,13,Prodi,B-per,B-geo
ner,crf,702.0,20,Prodi,B-per,B-geo
ner,crf,707.0,11,Shi'ite,B-org,O
ner,crf,707.0,25,Ashura,B-eve,B-geo
ner,crf,711.0,11,Christian,O,B-gpe
ner,crf,711.0,16,Christmas,B-eve,B-geo
ner,crf,715.0,15,U.S.,B-org,B-geo
ner,crf,718.0,12,Korea,B-gpe,I-geo
ner,crf,718.0,14,Pyongyang,B-gpe,B-geo
ner,crf,719.0,7,Japan,B-gpe,B-geo
ner,crf,719.0,24,Tokyo,B-gpe,B-geo
ner,crf,719.0,30,Korea,B-gpe,I-geo
ner,crf,720.0,0,U.S.,B-gpe,B-geo
ner,crf,720.0,6,Korea,B-gpe,I-geo
ner,crf,722.0,0,U.S.,B-gpe,B-geo
ner,crf,722.0,19,Washington,B-gpe,B-geo
ner,crf,722.0,30,North,B-geo,O
ner,crf,723.0,1,Korea,B-gpe,I-geo
ner,crf,726.0,25,Obeidi,B-per,B-geo
ner,crf,729.0,25,Sunnis,O,B-gpe
ner,crf,730.0,3,Commissioner,O,I-org
ner,crf,730.0,21,120,B-tim,O
ner,crf,734.0,0,Swiss,B-gpe,O
ner,crf,739.0,7,France,B-org,B-geo
ner,crf,739.0,11,Bahamas,B-geo,B-org
ner,crf,742.0,0,Ukraine,B-geo,B-org
ner,crf,742.0,16,Russia,B-org,B-geo
ner,crf,743.0,6,from,B-tim,O
ner,crf,743.0,7,Saturday,I-tim,B-tim
ner,crf,744.0,2,Yekhanurov,B-org,I-per
ner,crf,745.0,5,Ukraine,B-org,B-geo
ner,crf,745.0,8,Russia,B-org,B-geo
ner,crf,747.0,11,three-day,B-tim,O
ner,crf,751.0,13,first,B-tim,O
ner,crf,751.0,14,quarter,I-tim,O
ner,crf,755.0,5,Burma,B-gpe,B-geo
ner,crf,756.0,15,two,B-tim,O
ner,crf,756.0,17,of,B-tim,O
ner,crf,756.0,18,detention,I-tim,O
ner,crf,764.0,12,committee-chairman,I-org,O
ner,crf,765.0,0,Ohio,B-gpe,O
ner,crf,765.0,1,Representative,B-org,O
ner,crf,765.0,11,House,B-org,B-geo
ner,crf,765.0,15,recent,B-tim,O
ner,crf,767.0,0,Ney,B-per,B-geo
ner,crf,768.0,0,Abramoff,B-per,B-geo
ner,crf,769.0,0,Ney,B-per,B-geo
ner,crf,770.0,0,Texas,B-gpe,O
ner,crf,771.0,0,DeLay,B-per,O
ner,crf,771.0,5,Abramoff,B-per,B-geo
ner,crf,771.0,18,Abramoff,B-per,B-geo
ner,crf,772.0,20,Italy,B-geo,B-org
ner,crf,773.0,19,midday,B-tim,O
ner,crf,773.0,20,Thursday,I-tim,B-tim
ner,crf,774.0,0,Italian,B-gpe,O
ner,crf,774.0,25,two,B-tim,O
ner,crf,776.0,0,Italy,B-geo,B-org
ner,crf,781.0,2,Iowa,B-org,B-geo
ner,crf,782.0,6,U.S.,B-org,B-geo
ner,crf,784.0,16,U.S.,B-org,B-geo
ner,crf,785.0,4,Special,O,B-org
ner,crf,785.0,6,General,B-per,O
ner,crf,788.0,5,U.S.,B-org,B-geo
ner,crf,788.0,6,Congress,I-org,B-org
ner,crf,788.0,26,U.S.,B-org,B-geo
ner,crf,792.0,34,Pinochet,B-org,O
ner,crf,795.0,7,Mercosur,B-org,B-geo
ner,crf,795.0,15,Venezuela,B-org,B-geo
ner,crf,796.0,4,Argentina,B-org,B-geo
ner,crf,796.0,6,Brazil,B-org,B-geo
ner,crf,796.0,24,Venezuela,B-org,B-geo
ner,crf,800.0,2,Paraguay,B-org,B-geo
ner,crf,800.0,20,Brazil,B-org,B-geo
ner,crf,800.0,22,Argentina,B-org,B-geo
ner,crf,801.0,10,midnight,B-tim,O
ner,crf,801.0,11,Saturday,I-tim,B-tim
ner,crf,801.0,14,1657,B-tim,O
ner,crf,801.0,15,UTC,I-tim,B-org
ner,crf,806.0,1,Democratic,O,I-org
